Age,Income,Number of Children,Gender_encoded,Marital Status_encoded,Home Ownership_encoded,Education_Bachelor's Degree,Education_Doctorate,Education_High School Diploma,Education_Master's Degree
25,5500000.0,0,0,1,1,1,0,0,0
48,8750000.0,1,0,0,0,0,1,0,0
26,5500000.0,1,0,0,0,1,0,0,0
39,6250000.0,2,0,0,0,1,0,0,0
35,9000000.0,1,0,0,0,0,1,0,0
25,5500000.0,0,0,1,1,1,0,0,0
48,8250000.0,1,0,0,0,0,1,0,0
48,8250000.0,1,0,0,0,0,1,0,0
36,9500000.0,2,0,0,0,0,0,0,1
36,9500000.0,1,0,0,0,0,0,1,0
36,5000000.0,0,1,1,1,0,0,1,0
36,2750000.0,0,0,1,1,0,0,1,0
36,9500000.0,0,1,1,0,0,0,0,1
50,16000000.0,0,1,0,0,0,0,0,1
29,2500000.0,0,0,1,1,0,0,1,0
30,10500000.0,2,1,0,0,0,0,0,1
32,8500000.0,0,1,1,1,0,0,0,1
27,3750000.0,0,0,1,1,0,0,1,0
36,13000000.0,0,1,0,0,0,0,1,0
36,8500000.0,1,0,0,0,0,1,0,0
37,7500000.0,2,0,0,0,1,0,0,0
36,3000000.0,0,0,1,1,0,0,0,0
36,3500000.0,0,0,1,1,0,0,1,0
36,10500000.0,0,1,1,0,0,1,0,0
35,8000000.0,1,0,0,0,0,1,0,0
38,6750000.0,2,0,0,0,1,0,0,0
50,16250000.0,0,1,0,0,0,0,0,1
44,8750000.0,0,1,1,0,0,0,0,1
34,10500000.0,1,1,0,1,1,0,0,0
34,4750000.0,0,1,1,1,0,0,0,0
45,10500000.0,3,0,0,0,1,0,0,0
52,13500000.0,0,1,0,0,0,0,1,0
35,8500000.0,1,0,0,0,0,1,0,0
36,12500000.0,0,1,0,0,0,0,0,0
35,7500000.0,1,0,0,0,0,1,0,0
30,11750000.0,2,1,0,0,0,0,0,1
47,9000000.0,1,0,0,0,0,1,0,0
32,5750000.0,0,1,1,1,0,0,0,0
36,9000000.0,2,0,0,0,0,0,0,1
28,3250000.0,0,0,1,1,0,0,0,0
39,6000000.0,2,0,0,0,1,0,0,0
